,
不谨慎的,careless cursory headlong reckless slack bold brash rash   daredevil    temerarious slipshod  audacious madcap indiscretion  
谨慎的,wary chary discreet judicious sapient sage sagacious shrewd tactical circumspect guarded heedful prudent
爱,adore   savor   relish   rejoice  beloved  cherished  favored fond
恨,abhor abominate despise detest disdain execrate loathe revolt
重要的,cardinal crucial consequential considerable paramount pivotal vital eventful momentous weighty significant important 
不重要的,trifling trivial inconsequential   insubstantial   nominal negligible  nugatory   piddling   paltry   measly   slight
缓和/减轻,assuage allay  alleviate  attenuate   mitigate   moderate   temper   palliate 
加重/恶化,worsen aggravate   exacerbate  exasperate  deteriorate  intensify
证实,validate  verify   vindicate  document  demonstrate   substantiate  authenticate  attest testify  corroborate  certify  
反驳,contradict  controvert  rebut  refute  disprove   gainsay
赞扬,approbate  acclaim  applaud  laud  commend  celebrate   compliment  emblazon  eulogize  exalt  extol  praise  glorify  hym
责备/贬低,denigrate  depreciate  deprecate  deplore  degrade  disparage  derogate  reprobate  reprove  reprimand reprehend  reproach rebuke  admonish  berate  belittle  chide   censure  impugn 
尊敬,  defer   revere  respect  venerate  honor   ennoble  
蔑视,scorn  slight  disdain  despise  disrespect  
话多的,garrulous  loquacious  prolix  circuitous  circumlocutory  chatty  diffuse   rambling   verbose  voluble  windy  wordy  gabby  glib  expansive  talkative  
话少的 ,laconic taciturn reserved  reticent  compendious concise compact  curt  pithy  succinct  terse  brief  
短暂的,transient  transitory  ephemeral   evanescent  fleeting  short-lived  temporary   momentary   meteoric  
持久的,  perpetual   permanent  immortal  abiding  enduring  eternal  everlasting
忽视/不理会,neglect  slight  snub  disregard  ignore  overlook  override  omit remit  
关注,attend  advert  heed  hearken  mind  
喜欢,disposition  predisposition  affection  affinity  orientation  slant  tendency  inclination   bent  liability  leaning  proclivity  penchant  propensity   predilection 
不喜欢,aversion antipathy  nausea  repugnance   repulsion  hatred  odium   loathing   disfavor   disinclination
有争议的 ,indefensible  impeachable   untenable  arguable  assailable  refutable   polemical  disputatious  controversial 
无懈可击的 ,unassailable  undeniable  unimpeachable unexceptionable  indubitable irrefutable  indisputable  tenable 
多余的/大量的 ,abounding  abundant  ample  awash  cornucopian   superfluous  surplus  redundant  rife  replete  excessive  flush   fraught  swarming  teeming  thronging   
不足的/少量的,exiguous  meager  sparse  scant  scanty  scarce  slender  skimpy  deficient  inadequate  insufficient 
减少,wane   subside   sap   abate   abase  debase  diminish  dwindle   decline   lessen  lower  reduce  erode  
增加,wax   mount  mushroom  snowball ballon  burgeon  boom  bulge  boost   hike   enlarge  expand  escalate  proliferate   aggrandize  amplify  augment   accelerate   accumulate  
小气,penurious   parsimonious   stingy  miserly  tightfisted  closefisted   begrudge  hoard  skimp  miser  niggard  skinflint  
